PLAYER_NAME,FGA,FG%,xFG%,FG%-xFG%
Jaden Springer,8,0.625,0.5016437095330697,0.12335629046693031
Payton Pritchard,224,0.5044642857142857,0.435563124114414,0.0689011615998717
Sam Hauser,111,0.4594594594594595,0.4198602525544969,0.0395992069049626
Neemias Queta,64,0.640625,0.6225318278044858,0.018093172195514207
Derrick White,242,0.4380165289256198,0.42939763011858634,0.008618898807033482
Jayson Tatum,381,0.4645669291338583,0.4685792523912323,-0.004012323257374051
Kristaps Porziņģis,123,0.4634146341463415,0.4679616921436553,-0.004547057997313808
Al Horford,132,0.42424242424242425,0.4421439341906703,-0.01790150994824602
Luke Kornet,73,0.6438356164383562,0.6670147365625245,-0.02317912012416834
Drew Peterson,8,0.375,0.41135045253250835,-0.03635045253250835
Jaylen Brown,250,0.448,0.4867860436862454,-0.038786043686245386
Baylor Scheierman,33,0.3939393939393939,0.4434594255066021,-0.04952003156720819
Jrue Holiday,142,0.4084507042253521,0.46165381272905154,-0.053203108503699414
JD Davison,8,0.375,0.4584249547538629,-0.08342495475386291
Torrey Craig,11,0.18181818181818182,0.36555787114445903,-0.1837396893262772
Jordan Walsh,21,0.2857142857142857,0.47640491911130695,-0.19069063339702125
Xavier Tillman,12,0.25,0.4461265834990314,-0.1961265834990314
Miles Norris,3,0.0,0.3289231628299414,-0.3289231628299414
